2024-04-28 20:51:38,716 [INFO ] 89 | Entry Type: Long | Entry Price: 66828.0 | Exit Price: 67279.61 | Entry Time: 2024-03-25 05:19:59.999000+02:00 | Exit Time: 2024-03-25 08:14:59.999000+02:00 | Profit/Loss (%): 0.64 | Volatility: 0.79
2024-04-28 20:51:38,717 [INFO ] 90 | Entry Type: Short | Entry Price: 67174.97 | Exit Price: 67100.0 | Entry Time: 2024-03-25 08:14:59.999000+02:00 | Exit Time: 2024-03-25 11:59:59.999000+02:00 | Profit/Loss (%): 0.47 | Volatility: 0.58
2024-04-28 20:51:38,719 [INFO ] 91 | Entry Type: Long | Entry Price: 67055.96 | Exit Price: 66900.0 | Entry Time: 2024-03-25 11:59:59.999000+02:00 | Exit Time: 2024-03-25 13:19:59.999000+02:00 | Profit/Loss (%): -0.07 | Volatility: 0.15
2024-04-28 20:51:38,720 [INFO ] 92 | Entry Type: Short | Entry Price: 66797.2 | Exit Price: 67190.0 | Entry Time: 2024-03-25 13:19:59.999000+02:00 | Exit Time: 2024-03-25 14:19:59.999000+02:00 | Profit/Loss (%): -0.25 | Volatility: 0.64
2024-04-28 20:51:38,721 [INFO ] 93 | Entry Type: Long | Entry Price: 67068.17 | Exit Price: 66980.0 | Entry Time: 2024-03-25 14:19:59.999000+02:00 | Exit Time: 2024-03-25 15:19:59.999000+02:00 | Profit/Loss (%): -0.11 | Volatility: 0.08
2024-04-28 20:51:38,721 [INFO ] 94 | Entry Type: Short | Entry Price: 66920.0 | Exit Price: 67215.0 | Entry Time: 2024-03-25 15:19:59.999000+02:00 | Exit Time: 2024-03-25 15:44:59.999000+02:00 | Profit/Loss (%): -0.3 | Volatility: 0.55
2024-04-28 20:51:38,723 [INFO ] 95 | Entry Type: Long | Entry Price: 67185.01 | Exit Price: 70778.0 | Entry Time: 2024-03-25 15:44:59.999000+02:00 | Exit Time: 2024-03-25 23:09:59.999000+02:00 | Profit/Loss (%): 5.35 | Volatility: 5.5
2024-04-28 20:51:38,724 [INFO ] 96 | Entry Type: Short | Entry Price: 70619.87 | Exit Price: 70281.1 | Entry Time: 2024-03-25 23:09:59.999000+02:00 | Exit Time: 2024-03-26 04:24:59.999000+02:00 | Profit/Loss (%): 0.8 | Volatility: 1.02
2024-04-28 20:51:38,724 [INFO ] 97 | Entry Type: Long | Entry Price: 70230.01 | Exit Price: 70541.1 | Entry Time: 2024-03-26 04:24:59.999000+02:00 | Exit Time: 2024-03-26 07:09:59.999000+02:00 | Profit/Loss (%): 0.47 | Volatility: 0.52
2024-04-28 20:51:38,725 [INFO ] 98 | Entry Type: Short | Entry Price: 70481.97 | Exit Price: 70897.47 | Entry Time: 2024-03-26 07:09:59.999000+02:00 | Exit Time: 2024-03-26 09:04:59.999000+02:00 | Profit/Loss (%): -0.13 | Volatility: 0.9
